t [s] y1 [] y2 [] y3 []
9.9989e-05   1.000000e-04    1.000000e+00   -1.000000e+00
4.0000e-01   5.968063e-01    8.950361e-01   -8.950361e-01
4.1000e-01   6.178733e-01    8.889625e-01   -8.889625e-01
4.2000e-01   6.393032e-01    8.826767e-01   -8.826767e-01
4.3000e-01   6.611013e-01    8.761748e-01   -8.761748e-01
4.4000e-01   6.832732e-01    8.694529e-01   -8.694529e-01
4.5000e-01   7.058239e-01    8.625074e-01   -8.625074e-01
4.6000e-01   7.287587e-01    8.553346e-01   -8.553346e-01
4.7000e-01   7.520833e-01    8.479305e-01   -8.479305e-01
4.8000e-01   7.758029e-01    8.402912e-01   -8.402912e-01
4.9000e-01   7.999234e-01    8.324128e-01   -8.324128e-01
5.0000e-01   8.244502e-01    8.242912e-01   -8.242912e-01
5.1000e-01   8.493899e-01    8.159218e-01   -8.159218e-01
5.2000e-01   8.747477e-01    8.073008e-01   -8.073008e-01
5.3000e-01   9.005295e-01    7.984239e-01   -7.984239e-01
5.4000e-01   9.267413e-01    7.892870e-01   -7.892870e-01
5.5000e-01   9.533891e-01    7.798857e-01   -7.798857e-01
5.6000e-01   9.804790e-01    7.702157e-01   -7.702157e-01
5.7000e-01   1.008017e+00    7.602726e-01   -7.602726e-01
5.8000e-01   1.036010e+00    7.500518e-01   -7.500518e-01
5.9000e-01   1.064463e+00    7.395490e-01   -7.395490e-01
6.0000e-01   1.093383e+00    7.287595e-01   -7.287595e-01
6.1000e-01   1.122777e+00    7.176787e-01   -7.176787e-01
6.2000e-01   1.152652e+00    7.063007e-01   -7.063007e-01
6.3000e-01   1.183016e+00    6.946203e-01   -6.946203e-01
6.4000e-01   1.213873e+00    6.826337e-01   -6.826337e-01
6.5000e-01   1.245232e+00    6.703358e-01   -6.703358e-01
6.6000e-01   1.277098e+00    6.577217e-01   -6.577217e-01
6.7000e-01   1.309480e+00    6.447864e-01   -6.447864e-01
6.8000e-01   1.342382e+00    6.315248e-01   -6.315248e-01
6.9000e-01   1.375814e+00    6.179316e-01   -6.179316e-01
